@option start = <A>	さらに、開始は <A> とする
@option start = <A>	そこで、開始位置は <A> とする
@option start = <A>	そこで、 <A> から始めることにする
@option step = <A>	さらに、間隔は <A> にする
@option encoding = <A>	そこで、エンコーディングは <A> とする
@option encoding = <A>	そのとき、文字コードは <A> とする
@option encoding = <A>	そこで、エンコーディング <A> を用いることとする
@option encoding = <A>	さらに、文字コード <A> を使うことにする
@option encoding = <A>	そのとき、文字コード <A> を用いることにする
@option encoding = <A>	そのとき、エンコーディング <A> を使う
@option encoding = <A>	そこで、 <A> を用いる
@option encoding = <A>	そこで、 <A> をすることとする
@option encoding = <A>	そのとき、 <A> を使う
@option encoding = 'utf-8'	そこで、 UTF8 をする
@option encoding = 'utf-8'	さらに、 UTF8 を使う
@option encoding = 'utf-8'	そのとき、 UTF8 を用いることにする
@option errors = <A>	そこで、エラー処理は <A> とする
@option errors = <A>	さらに、 <A> をエラー処理ポリシーとする
@option errors = 'strict'	そこで、エラー処理は厳密にする
@option errors = 'strict'	そのとき、エラー処理を厳密にする
@option errors = 'ignore'	さらに、エラー処理はしないことにする
@option mode = <a>	さらに、モードは <a> にする
@option mode = 'b'	そのとき、バイナリモードを用いることにする
@option mode = 'b'	そのとき、バイナリモードをすることにする
@option mode = 'b'	そのとき、バイナリモードを使うことにする
@option buffering = -1	さらに、バッファリングしないことにする
@option buffering = <A>	さらに、バッファリングのサイズは <A> にする
@option sep = <A>	そこで、セパレータは <A> にする
@option sep = <A>	そこで、区切り文字は <A> にする
@option sep = <A>	さらに、区切り記号は <A> にする
@option sep = <A>	そのとき、セパレータとして <A> を用いることとする
@option sep = <A>	そのとき、セパレータとして <A> を使うことにする
@option sep = <A>	さらに、区切り文字として <A> を用いる
@option sep = <A>	そのとき、セパレータとして <A> をすることとする
@option sep = <A>	そこで、区切り記号として <A> をする
@option sep = <A>	そこで、区切り文字として <A> をする
@option sep = <A>	さらに、区切り記号として <A> を用いることとする
@option sep = <A>	そのとき、区切り記号として <A> を使うこととする
@option end = ''	そこで、改行しないことにする
@option end = <A>	そのとき、改行文字は <A> にする
@option end = <A>	さらに、改行の代わりに <A> をすることとする
@option end = <A>	そのとき、改行の代わりに <A> を使う
@option end = <A>	そのとき、改行の代わりに <A> を用いることにする
@option file = <A>	さらに、出力先は <A> とする
@option file = <A>	そのとき、出力先として <A> を使う
@option file = <A>	さらに、出力先として <A> をする
@option file = <A>	そこで、出力先として <A> を用いることとする
@option flush = False	そのとき、フラッシュは行わない
@option flush = False	そこで、フラッシュを行わない
@option flush = False	さらに、フラッシュしないこととする
@option flush = True	そこで、フラッシュを行う
"@option byteorder = ""big"""	そのとき、バイトオーダーはビックエンディアンとする
"@option byteorder = ""big"""	そこで、ビックエンディアンを使うこととする
"@option byteorder = ""big"""	そこで、ビックエンディアンをすることとする
"@option byteorder = ""big"""	さらに、ビックエンディアンを用いる
"@option byteorder = ""little"""	そのとき、バイトオーダーはリトルエンディアンとする
"@option byteorder = ""little"""	さらに、リトルエンディアンをすることにする
"@option byteorder = ""little"""	そのとき、リトルエンディアンを使うことにする
@option fillchar = <A>	そこで、パディングは <A> にする
@option fillchar = <A>	そこで、パディングは <A> 文字にする
@option fillchar = <A>	そのとき、 <A> で埋めることにする
@option fillchar = <A>	さらに、文字 <A> で埋めることとする
@option tabsize = <A>	そこで、タブは空白 <A> 文字分とする
@option alpha = <a>	そこで、透明度を <a> とする
@option alpha = <a>	そこで、透過度を <a> とする
@option labels = <A>	そこで、グラフのラベルを <A> とする
@option color = 'red'	そこで、グラフカラーを赤色とする
@option color = 'red'	さらに、グラフの色を赤色とする
@option color = 'red'	さらに、グラフカラーを赤とする
@option color = 'red'	さらに、グラフの色を赤とする
@option color = 'blue'	そこで、グラフの色を青とする
@option color = 'blue'	そのとき、グラフの色を青色とする
@option color = 'blue'	さらに、グラフカラーを青色とする
@option color = 'yellow'	そこで、グラフカラーを黄色とする
@option color = 'yellow'	そのとき、グラフの色を黄色とする
@option color = 'gray'	そこで、グラフカラーをグレーとする
@option color = 'gray'	そこで、グラフの色をグレーとする
@option color = 'navy'	そこで、グラフカラーをネイビーとする
@option color = 'navy'	そこで、グラフカラーを紺色とする
@option color = 'navy'	そこで、グラフの色をネイビーとする
@option color = 'greenyellow'	そのとき、グラフの色を黄緑とする
@option color = 'greenyellow'	そのとき、グラフカラーを黄緑色とする
@option color = 'greenyellow'	そのとき、グラフカラーを黄緑とする
@option color = 'greenyellow'	そのとき、グラフの色を黄緑色とする
@option color = 'purple'	そのとき、グラフの色を紫とする
@option color = 'purple'	そこで、グラフカラーを紫とする
@option color = 'purple'	さらに、グラフの色を紫色とする
@option color = 'purple'	さらに、グラフカラーを紫色とする
@option color = 'cyan'	そこで、グラフカラーをシアンとする
@option color = 'cyan'	さらに、グラフの色をシアンとする
