<A> = <B>	<B> を <A> に代入する
<B> = <A>	<A> を <B> に代入する
<A> = <B>	<A> を <B> とする
<B> = <A>	<B> を <A> とする
<A> = <B>	<A> は <B> である
<B> = <A>	<B> は <A> である
<A> , <B> = <B> , <A>	<A> と <B> の値をスワップする
<B> , <A> = <A> , <B>	<B> と <A> の値をスワップする
<A> , <B> = <B> , <A>	<A> と <B> の値を入れ替える
<B> , <A> = <A> , <B>	<B> と <A> の値を入れ替える
<A> , <B> = <B> , <A>	<A> と <B> を入れ替える
<B> , <A> = <A> , <B>	<B> と <A> を入れ替える
<A> % 2 == 0	<A> が偶数か否か
if <A> % 2 == 0 :	<A> が偶数のとき
<A> % 2 == 1	<A> が奇数か
if <A> % 2 == 1 :	<A> が奇数のとき
<A> % 2 != 0	<A> が奇数か
if <A> % 2 != 0 :	<A> が奇数のとき
<A> % 2 != 1	<A> が偶数か否か
if <A> % 2 != 1 :	<A> が偶数ならば
<A> % <B> == 0	<A> が <B> の倍数か否か
<B> % <A> == 0	<B> が <A> の倍数か否か
if <A> % <B> == 0 :	もし <A> が <B> の倍数ならば
if <B> % <A> == 0 :	もし <B> が <A> の倍数ならば
<A> % <B> == 0	<A> が <B> の倍数でないか否か
<B> % <A> == 0	<B> が <A> の倍数でないか否か
if <A> % <B> == 0 :	もし <A> が <B> の倍数でないならば
if <B> % <A> == 0 :	もし <B> が <A> の倍数でないならば
<A> == <B>	<A> が <B> に等しいか
<B> == <A>	<B> が <A> に等しいか
if <A> == <B> :	<A> が <B> に等しいならば
if <B> == <A> :	<B> が <A> に等しいならば
<A> != <B>	<A> が <B> に等しくないか
<B> != <A>	<B> が <A> に等しくないか
if <A> != <B> :	<A> が <B> に等しくないならば
if <B> != <A> :	<B> が <A> に等しくないならば
<A> is <B>	<A> が <B> と同じか
<B> is <A>	<B> が <A> と同じか
if <A> is <B> :	<A> が <B> と同じのとき
if <B> is <A> :	<B> が <A> と同じのとき
<A> is not <B>	<A> が <B> と同じでないかどうか
<B> is not <A>	<B> が <A> と同じでないかどうか
if <A> is not <B> :	<A> が <B> と同じでないとき
if <B> is not <A> :	<B> が <A> と同じでないとき
<A> is not <B>	<A> が <B> と同一でないか
<B> is not <A>	<B> が <A> と同一でないか
if <A> is not <B> :	もし <A> が <B> と同一でないならば
if <B> is not <A> :	もし <B> が <A> と同一でないならば
<A> in <B>	<A> が <B> 中に存在するか
<B> in <A>	<B> が <A> 中に存在するか
if <A> in <B> :	<A> が <B> 中に存在するならば
if <B> in <A> :	<B> が <A> 中に存在するならば
<A> in <B>	<A> が <B> 内に含まれるか否か
<B> in <A>	<B> が <A> 内に含まれるか否か
if <A> in <B> :	<A> が <B> 内に含まれるならば
if <B> in <A> :	<B> が <A> 内に含まれるならば
<A> in <B>	<A> が <B> 中にあるか
<B> in <A>	<B> が <A> 中にあるか
if <A> in <B> :	<A> が <B> 中にあるとき
if <B> in <A> :	<B> が <A> 中にあるとき
<A> in <B>	<A> が <B> に存在するか
<B> in <A>	<B> が <A> に存在するか
if <A> in <B> :	<A> が <B> に存在するならば
if <B> in <A> :	<B> が <A> に存在するならば
<A> in <B>	<A> が <B> 内に存在するか
<B> in <A>	<B> が <A> 内に存在するか
if <A> in <B> :	<A> が <B> 内に存在する場合
if <B> in <A> :	<B> が <A> 内に存在する場合
<A> in <B>	<A> が <B> にあるか否か
<B> in <A>	<B> が <A> にあるか否か
if <A> in <B> :	<A> が <B> にあるならば
if <B> in <A> :	<B> が <A> にあるならば
<A> in <B>	<A> が <B> 中に含まれるかどうか
<B> in <A>	<B> が <A> 中に含まれるかどうか
if <A> in <B> :	もし <A> が <B> 中に含まれるならば
if <B> in <A> :	もし <B> が <A> 中に含まれるならば
<A> not in <B>	<A> が <B> 中に含まれないか
